商品レビュー
孫にプレゼントしました。大変喜んでいました。
地球のプリントがあるのかと思いきや外装に描いてあるだけでちょっとがっかり。子供は喜んで食べてました。
話題性があり、本物がなかなか手に入らないということで購入しました。個人的には美味しかったですが、日本ではなかなかない味なので、好みが別れると思います。
excellent
"入ってたグミ全部潰れてた。
誰かがわざと潰したんかって感じ。
娘悲しんでました。"
まぁまぁ
ザ地球グミって感じでした
"食べてみたいと思い買ってみましたが、焦らずにドンキに行っていたらかなり安く買えました。
何事も焦らずに過ごすことが一番だと思います。"
"私はパチモンか本物かわかりませんが、原産国がスペインとあったので、おそらく本物です
食感は、マシュマロにグミ足した感じです。日本のグミとは全く違うので、注意ね
日本とちがって海外っぽさというか、甘みが強いです
グミの方はかなり柔らかく、中のソースがいい感じに酸っぱい（ちょっと酸っぱすぎたかも）
ので甘いグミとの相性バツグンです
美味しかったです！実際は⭐️4.5です"
"お子さんには人気でちょとお高いけど
美味しくてまた食べたいとのこと
海外のお菓子は魅力的ですよね"
彼女へのプレゼント🎁
高い
"流行りで子供にせがまれ購入。
高いですが美味しかったので良かったです。"
グミの色味は気になりますが、子どもが喜んで食べました。
堅さがあり、食べごたえがあります
子供が欲しがったから買ってみたけど、美味しくはない。
"YouTubeの影響。
売ってなさすぎて、こちらで購入。
色がすごくて中のジャム？みたいなやつも嫌がるかと思いきや、美味しい！！と食べてます。
着色料はすごそうですが、子供が喜ぶので仕方ない…！！
食べた後の舌はすごいことなってますw"
7歳の子供に頼まれて購入。喜んでいたが、食べずに放置、、、
孫へのプレゼントにつき味についてはわかりませんが、迅速に対応して頂き感謝です。
思った味ではなかった様です。
"いま子供の間で人気が再燃しているらしく、娘が欲しがっていたのですが、どこにいっても完売。
こちらですと定価の倍くらいはするが、手に入るならと、5/31オーダーで6/4着のものを注文。
だが、6/3に注文履歴を見ると、何の連絡もなく納品予定が7/7に変更になっていた。
娘が大変楽しみにしていたので、どうしようかなと思って思案していたところ、同じ販売店さんでプラス¥100位で6/5に納品できる地球グミを発見。
再オーダーし、発送を確認してから、以前オーダーしたものをキャンセルしました。
なぜ、このような事が起こるのか？？？気がついてよかったですけど。。。。もやもやします。

再オーダーしたものは予定通り6/5に納品されました。
娘は大喜びでした。
美味しい！と喜んでいたので食べてみたら、大人にはちょっと、、、、な味でしたが
味という事ではないので、とにかく手に入ってよかったな〜って感じです。

納品の状態は、破裂などもなく、賞味期限も１年先のもので、問題なかったです。"
"入荷期間が予定より延びて結構待ちましたが、子供たちが喜んで食べてくれたので良かったです。
すごく美味しかったみたい。"
売り切れが続出とのことで、あっても他では高いそうです。孫喜んだ動画が送られてきました
話のネタに購入して食べてみましたが、子供も1つが限界でした。
